brand,brand_goodwill,year,age_years,horsepower,engine_size_l,mileage,fuel_type,transmission,owner_count,accident_count,doors,city_mpg,price
Tesla,9.43,2014,12,282.4,0.0,145034,Electric,Manual,1,1.0,4,12.0,46186.03
Tesla,9.0,2013,13,314.5,0.0,136876,Electric,Manual,1,1.0,4,12.0,44711.38
BMW,8.98,2008,18,212.6,3.58,161323,Diesel,Manual,3,2.0,4,35.3,23820.54
Toyota,8.61,2022,4,161.4,2.33,49873,Petrol,Manual,1,1.0,4,26.4,21708.47
Audi,8.15,2015,11,310.3,0.0,86180,Electric,Automatic,1,0.0,4,12.0,41152.49
Hyundai,6.64,2009,17,235.4,1.88,150645,Petrol,Automatic,2,0.0,4,19.5,6187.39
Volkswagen,6.86,2014,12,177.6,1.0,88246,Petrol,Automatic,2,1.0,4,32.2,13676.63
Mercedes-Benz,9.15,2019,7,268.7,0.0,104277,Electric,Manual,3,1.0,4,12.0,44338.5
Lexus,9.23,2022,4,270.2,3.87,16845,Petrol,Automatic,1,0.0,4,33.6,55946.11
Honda,8.18,2016,10,211.5,1.32,135648,Petrol,Automatic,1,1.0,4,21.9,13516.82
Kia,6.46,2011,15,149.3,1.93,219357,Petrol,Automatic,1,0.0,4,22.3,2500.0
Mazda,7.32,2008,18,196.5,1.87,228427,Petrol,Automatic,2,0.0,4,22.9,2500.0
Toyota,8.87,2025,1,233.9,2.36,6419,Petrol,Manual,1,0.0,4,33.7,31115.11
Chevrolet,6.46,2017,9,193.3,2.87,131164,Petrol,Automatic,1,0.0,4,36.4,17247.79
Chevrolet,6.3,2015,11,220.5,2.01,133224,Petrol,Automatic,4,0.0,2,37.0,12494.34
Honda,8.3,2011,15,181.3,1.86,169472,Diesel,Automatic,2,1.0,4,33.3,10604.5
Chevrolet,5.86,2019,7,147.5,2.24,98401,Diesel,Manual,4,0.0,4,27.0,7612.29
Volkswagen,6.8,2020,6,271.1,0.0,77759,Electric,Automatic,3,1.0,4,12.0,26002.26
Hyundai,6.75,2015,11,216.4,,152873,Petrol,Manual,3,1.0,4,37.2,4474.76
Tesla,8.91,2019,7,350.1,3.13,107569,Diesel,Automatic,2,1.0,4,28.2,54285.78
Honda,8.33,2015,11,192.7,1.0,149086,Petrol,Manual,3,0.0,4,21.3,10462.13
Kia,6.58,2009,17,188.4,1.29,197753,Petrol,Automatic,1,4.0,2,34.2,2500.0
Honda,7.52,2026,0,155.0,1.61,500,Petrol,Manual,2,0.0,4,20.3,26086.19
Subaru,7.54,2015,11,227.6,1.56,118175,Petrol,Manual,1,0.0,4,24.9,19061.93
Mercedes-Benz,9.57,2010,16,307.2,0.0,100132,Electric,Manual,2,0.0,4,12.0,41703.55
Honda,8.2,2023,3,193.4,2.82,41734,Petrol,Automatic,1,0.0,4,32.4,29543.55
Kia,6.72,2026,0,169.3,2.24,1914,Diesel,Automatic,1,1.0,2,34.9,22855.61
Nissan,6.4,2012,14,192.2,,125352,Petrol,Manual,1,0.0,4,28.2,6160.59
Nissan,6.49,2025,1,198.5,1.3,14398,Diesel,Automatic,1,1.0,4,31.7,24294.53
Toyota,7.94,2022,4,189.9,1.79,65843,Petrol,Automatic,1,0.0,4,28.6,25816.93
Kia,6.58,2020,6,158.1,1.71,83425,Petrol,Automatic,2,0.0,2,21.8,16714.88
Subaru,6.94,2011,15,148.6,1.29,165992,Petrol,Automatic,3,0.0,4,17.5,6795.1
Nissan,6.41,2010,16,179.9,2.73,250020,Diesel,Automatic,1,2.0,4,31.4,2500.0
Volkswagen,7.28,2023,3,183.1,1.47,33874,Hybrid,Manual,2,0.0,4,50.2,22987.38
Chevrolet,6.26,2012,14,192.3,2.08,185910,Petrol,Manual,3,0.0,2,22.6,2873.97
BMW,8.77,2010,16,272.1,2.42,110981,Petrol,Automatic,2,2.0,2,30.2,34046.23
Audi,8.44,2015,11,224.1,2.12,152173,Diesel,Automatic,2,3.0,2,30.5,32422.46
Chevrolet,6.65,2015,11,198.4,2.42,99291,Hybrid,Manual,1,0.0,4,36.6,10921.73
Audi,8.64,2020,6,283.2,3.99,67257,Petrol,Automatic,1,0.0,4,27.1,48608.6
BMW,8.76,2013,13,270.2,1.73,142310,Petrol,Automatic,2,0.0,4,27.6,37294.0
Kia,5.67,2023,3,120.0,1.62,39581,Petrol,Automatic,1,1.0,4,29.4,13173.31
Kia,6.64,2026,0,180.0,3.03,500,Diesel,Automatic,2,0.0,4,40.3,29010.45
Toyota,8.35,2024,2,145.5,1.0,18309,Hybrid,Manual,2,0.0,4,40.1,23141.23
Nissan,6.08,2008,18,199.0,1.99,200752,Petrol,Manual,1,0.0,4,31.8,2500.0
Nissan,5.91,2012,14,152.2,3.04,116939,Petrol,Automatic,1,1.0,4,23.6,9387.22
Chevrolet,6.55,2008,18,165.3,1.87,65917,Petrol,Automatic,1,3.0,4,23.5,3451.15
Hyundai,6.57,2025,1,196.8,2.4,4737,Petrol,Automatic,4,0.0,4,24.0,24239.42
Hyundai,7.05,2008,18,226.6,2.89,304258,Petrol,Automatic,3,1.0,4,32.8,2500.0
Kia,6.72,2019,7,158.2,1.56,100071,Petrol,Automatic,2,0.0,4,25.8,12512.15
Chevrolet,5.87,2009,17,199.9,2.46,289631,Petrol,Manual,2,0.0,2,36.1,2500.0
Toyota,8.98,2020,6,114.9,1.0,86627,Hybrid,Automatic,3,0.0,4,38.8,19689.36
Subaru,6.75,2009,17,187.7,2.59,164480,Diesel,Manual,1,0.0,4,31.8,6651.14
Tesla,8.5,2026,0,329.3,1.26,500,Hybrid,Manual,1,0.0,4,,62999.21
Kia,7.08,2010,16,157.2,1.61,118125,Petrol,Automatic,1,0.0,4,18.6,2978.76
Lexus,9.21,2015,11,296.5,4.5,150751,Hybrid,Automatic,1,0.0,2,35.4,45990.15
Lexus,9.23,2017,9,250.7,3.84,103983,Hybrid,Automatic,1,1.0,4,35.5,46543.46
Hyundai,6.65,2025,1,207.5,1.0,12687,Petrol,Manual,1,1.0,4,32.1,21637.69
Lexus,9.09,2015,11,294.6,3.59,148978,Diesel,Automatic,1,0.0,4,28.5,47238.53
Toyota,8.63,2018,8,152.5,1.53,128744,Petrol,Automatic,4,0.0,4,30.9,13776.61
Ford,6.37,2010,16,173.9,1.66,226623,Petrol,Automatic,1,1.0,4,34.3,2784.44
Honda,9.09,2011,15,209.9,2.68,180174,Petrol,Automatic,1,1.0,4,32.6,13789.97
Ford,6.39,2019,7,152.1,1.39,88558,Petrol,Manual,1,0.0,4,29.8,9336.76
Ford,6.44,2017,9,188.7,3.63,147411,Petrol,Automatic,3,0.0,4,35.3,12901.03
Mercedes-Benz,9.04,2022,4,351.4,3.45,35035,Petrol,Manual,2,0.0,4,20.9,53739.81
Honda,8.65,2020,6,179.6,1.0,67752,Petrol,Manual,1,0.0,4,30.8,20605.29
Subaru,7.91,2022,4,155.7,2.61,52834,Petrol,Automatic,2,0.0,2,22.5,26960.9
Subaru,7.88,2017,9,144.6,1.6,97761,Petrol,Automatic,1,0.0,4,38.0,19125.38
Honda,8.42,2025,1,206.9,1.0,9056,Petrol,Automatic,3,1.0,4,27.1,28060.83
Kia,7.08,2012,14,174.9,1.0,196702,Diesel,Automatic,3,0.0,4,31.7,2500.0
Tesla,9.51,2010,16,193.2,0.0,193781,Electric,Automatic,1,0.0,4,12.0,35868.09
Kia,6.05,2015,11,161.1,1.49,161506,Petrol,Manual,1,1.0,4,24.8,2500.0
Chevrolet,6.49,2022,4,132.4,2.02,52033,Hybrid,Automatic,1,0.0,4,39.7,22082.33
Volkswagen,7.22,2022,4,158.9,1.92,16827,Petrol,Automatic,1,0.0,4,27.1,24590.41
Tesla,9.08,2009,17,292.8,3.37,149278,Petrol,Automatic,1,0.0,4,30.5,42615.98
Audi,8.45,2012,14,331.9,0.0,166604,Electric,Automatic,3,0.0,2,12.0,38546.28
Subaru,8.07,2012,14,185.8,2.79,236674,Hybrid,Automatic,2,1.0,4,43.4,8429.31
Kia,6.6,2024,2,173.9,1.0,14947,Petrol,Automatic,2,0.0,4,27.1,19827.62
Audi,9.11,2012,14,345.1,0.0,104120,Electric,Manual,4,0.0,4,12.0,41936.46
Honda,8.29,2017,9,308.1,0.0,88689,Electric,Automatic,2,0.0,4,12.0,26669.33
Toyota,7.9,2019,7,149.2,1.62,73771,Hybrid,Automatic,1,1.0,4,37.2,17981.54
Subaru,7.67,2017,9,142.5,2.29,107297,Petrol,Automatic,4,1.0,4,29.2,18802.81
Kia,6.7,2023,3,210.7,1.89,18723,Petrol,Manual,3,1.0,4,21.3,20097.51
Honda,7.93,2023,3,237.7,2.79,32175,Diesel,Manual,2,1.0,4,,25288.32
Hyundai,6.25,2022,4,174.3,1.43,50723,Hybrid,Automatic,2,1.0,4,35.5,19950.18
Mazda,7.05,2012,14,160.3,1.6,217310,Diesel,Automatic,2,0.0,4,24.1,3641.89
Toyota,8.08,2026,0,175.7,1.15,14047,Petrol,Manual,2,0.0,4,36.5,29020.99
Lexus,8.56,2012,14,288.4,2.41,233464,Petrol,Automatic,3,0.0,4,33.5,32075.72
Ford,6.91,2020,6,130.2,1.99,57325,Petrol,Automatic,1,1.0,4,30.2,15262.32
Kia,6.64,2016,10,122.4,2.33,120181,Hybrid,Manual,1,0.0,4,38.9,6337.52
Tesla,9.27,2021,5,299.4,3.02,77647,Petrol,Manual,1,0.0,4,23.6,53470.2
Subaru,7.62,2024,2,146.5,2.29,27911,Diesel,Automatic,2,0.0,4,28.1,29565.04
Mercedes-Benz,8.48,2026,0,198.5,3.22,3306,Petrol,Automatic,1,0.0,2,24.5,55421.8
Mercedes-Benz,9.16,2018,8,224.1,3.66,77031,Hybrid,Manual,1,0.0,4,36.1,47660.54
Ford,6.28,2026,0,161.5,1.16,3649,Petrol,Automatic,1,0.0,4,25.7,25044.72
Kia,6.71,2026,0,148.1,2.14,2714,Petrol,Automatic,2,0.0,2,25.1,20428.97
Kia,6.42,2016,10,230.3,0.0,137437,Electric,Automatic,2,3.0,2,12.0,11682.85
Nissan,6.15,2011,15,210.8,1.78,108552,Diesel,Manual,1,0.0,4,25.1,4052.49
Hyundai,7.09,2019,7,128.4,1.72,104413,Hybrid,Automatic,3,0.0,4,,13448.56
Mazda,6.43,2025,1,168.6,1.0,5198,Petrol,Automatic,2,,4,24.7,25197.3
Mercedes-Benz,9.36,2011,15,231.9,3.0,184191,Petrol,Automatic,2,0.0,4,27.6,35944.0
Kia,6.51,2010,16,170.8,2.07,266734,Diesel,Automatic,1,0.0,4,28.9,2500.0
Hyundai,6.7,2020,6,156.4,1.8,54158,Petrol,Manual,3,0.0,4,28.4,13447.51
Subaru,7.56,2017,9,164.1,3.55,92467,Petrol,Automatic,1,1.0,4,33.9,21098.31
Kia,7.31,2021,5,199.8,1.99,62249,Petrol,Automatic,3,0.0,4,28.6,19113.32
Mercedes-Benz,8.41,2025,1,270.4,0.0,10225,Electric,Automatic,1,0.0,4,12.0,60745.49
Mazda,7.42,2013,13,207.7,2.46,119330,Hybrid,Automatic,1,1.0,2,31.9,17206.54
Ford,6.65,2021,5,197.5,1.65,29833,Diesel,Manual,1,0.0,4,26.5,19161.81
Nissan,6.39,2012,14,195.9,1.86,99020,Petrol,Automatic,1,0.0,4,28.3,5812.13
Hyundai,6.96,2008,18,294.3,0.0,229668,Electric,Automatic,1,2.0,4,12.0,5353.98
BMW,9.15,2025,1,247.8,1.93,4197,Diesel,Automatic,2,0.0,4,22.8,52512.34
Chevrolet,6.36,2026,0,194.9,2.64,2446,Petrol,Manual,1,1.0,4,28.2,22067.64
Chevrolet,6.19,2019,7,185.8,3.54,98210,Petrol,Manual,2,2.0,4,32.2,11503.59
Nissan,6.36,2018,8,170.0,3.89,101864,Petrol,Automatic,3,0.0,4,27.7,15439.85
Honda,7.77,2012,14,186.7,2.42,137390,Petrol,Automatic,1,,4,31.2,12640.7
Honda,9.33,2014,12,128.7,1.48,117563,Petrol,Automatic,1,1.0,4,30.5,14094.76
Mazda,8.15,2023,3,187.0,1.0,20422,Petrol,Automatic,1,0.0,4,23.3,25236.58
Chevrolet,6.27,2026,0,124.3,1.87,500,Petrol,Automatic,2,0.0,4,33.4,21955.73
Audi,8.78,2026,0,304.4,2.9,6458,Petrol,Automatic,1,0.0,4,24.8,54980.78
Nissan,6.09,2021,5,182.6,1.44,44676,Diesel,Automatic,3,0.0,4,22.6,15081.54
Mazda,6.93,2021,5,251.6,0.0,44937,Electric,Automatic,1,0.0,2,12.0,26752.8
Toyota,8.97,2022,4,148.9,1.94,44195,Petrol,Automatic,2,0.0,4,30.8,21407.76
Toyota,8.56,2010,16,174.2,2.33,220134,Petrol,Manual,1,0.0,4,32.5,6001.0
Tesla,8.39,2013,13,355.4,2.82,84794,Petrol,Manual,1,0.0,4,31.5,51768.69
Nissan,5.77,2017,9,193.4,2.8,102306,Petrol,Manual,3,0.0,2,25.5,8032.46
Ford,6.33,2021,5,315.7,0.0,89097,Electric,Manual,1,0.0,4,12.0,25399.71
Chevrolet,6.36,2013,13,247.0,1.81,210754,Petrol,Automatic,1,1.0,2,33.0,5760.22
Ford,6.6,2016,10,179.0,1.66,136377,Petrol,Automatic,1,0.0,4,17.7,11546.21
Nissan,6.01,2017,9,174.7,1.52,131493,Hybrid,Manual,3,1.0,4,39.6,9154.41
Lexus,9.73,2010,16,240.1,2.95,227715,Petrol,Automatic,2,0.0,4,22.5,33496.43
Subaru,8.24,2010,16,169.4,1.0,158660,Hybrid,Manual,2,1.0,4,34.9,5406.09
Mazda,7.75,2009,17,178.7,1.0,231705,Petrol,Automatic,2,0.0,4,24.8,4207.33
Mazda,7.69,2023,3,188.4,1.51,36854,Petrol,Automatic,2,1.0,2,35.9,20946.77
Subaru,8.04,2019,7,220.7,1.48,73807,Hybrid,Automatic,2,0.0,2,38.5,29367.99
Hyundai,6.57,2025,1,179.5,3.28,9991,Petrol,Manual,3,0.0,4,23.1,22092.73
Toyota,8.45,2010,16,182.1,2.4,149060,Hybrid,Automatic,1,3.0,2,40.7,8184.73
Volkswagen,7.04,2024,2,209.9,1.58,6203,Hybrid,Automatic,1,0.0,4,35.8,34528.27
Hyundai,6.81,2010,16,166.2,1.7,210652,Hybrid,Automatic,2,1.0,2,47.1,2500.0
Subaru,7.59,2014,12,177.0,1.92,181415,Petrol,Automatic,1,1.0,4,24.2,14516.2
Volkswagen,6.95,2017,9,114.2,1.62,144026,Petrol,Automatic,1,0.0,4,35.6,13113.78
Nissan,6.28,2016,10,162.0,3.19,144765,Diesel,Manual,3,0.0,4,26.9,9575.42
Honda,8.42,2020,6,173.6,1.0,109486,Petrol,Automatic,1,0.0,4,30.7,21012.08
Audi,8.53,2017,9,324.5,0.0,127746,Electric,Automatic,1,1.0,2,12.0,41128.0
Mazda,6.63,2009,17,176.8,1.7,99608,Petrol,Automatic,1,4.0,4,23.3,2959.3
Nissan,5.68,2026,0,194.1,3.59,914,Diesel,Automatic,1,0.0,4,34.9,25098.36
Mazda,7.27,2009,17,190.2,2.32,255125,Diesel,Manual,2,2.0,4,20.0,2500.0
Lexus,9.21,2022,4,203.4,3.93,64496,Petrol,Automatic,1,1.0,2,21.3,46205.56
Nissan,6.16,2012,14,168.2,1.0,139445,Petrol,Manual,2,0.0,4,35.7,2500.0
Nissan,6.34,2022,4,296.7,0.0,47941,Electric,Manual,4,1.0,4,12.0,21882.06
Mercedes-Benz,8.77,2020,6,303.5,3.14,49766,Petrol,Manual,1,0.0,4,40.0,49755.5
Chevrolet,6.27,2014,12,218.6,1.42,124247,Diesel,Automatic,3,0.0,4,26.3,7715.98
Subaru,7.65,2017,9,168.0,1.81,104183,Diesel,Automatic,1,0.0,4,29.8,22465.44
Nissan,5.69,2012,14,193.6,2.86,206366,Petrol,Automatic,1,0.0,4,18.5,2500.0
Honda,8.17,2022,4,169.0,2.98,61928,Petrol,Automatic,3,0.0,4,32.2,26540.7
Kia,6.53,2013,13,192.0,1.0,151326,Petrol,Manual,1,1.0,4,28.8,4174.83
Honda,8.27,2011,15,218.7,1.0,185157,Petrol,Manual,1,1.0,4,21.5,10192.17
Nissan,6.39,2022,4,167.9,1.34,84459,Petrol,Automatic,1,0.0,4,33.8,19224.19
Ford,6.43,2022,4,202.5,2.27,35180,Petrol,Automatic,1,1.0,4,32.4,20730.5
Tesla,8.69,2023,3,315.6,2.82,28371,Petrol,Automatic,3,0.0,4,27.2,58384.17
Hyundai,7.02,2023,3,166.1,2.33,34424,Petrol,Automatic,1,0.0,4,28.1,21817.54
Kia,6.42,2013,13,224.4,1.92,141366,Diesel,Automatic,1,0.0,4,24.8,8900.53
Honda,8.55,2025,1,150.5,1.4,20956,Petrol,Automatic,1,0.0,4,26.2,27630.38
Volkswagen,7.0,2013,13,163.9,1.0,189577,Petrol,Automatic,3,0.0,2,27.4,11206.88
Nissan,5.73,2018,8,254.8,1.36,124388,Diesel,Automatic,1,1.0,4,28.4,13860.39
Tesla,9.13,2019,7,309.3,2.73,68973,Diesel,Automatic,1,0.0,4,29.2,53825.96
Tesla,8.88,2021,5,285.0,2.96,39309,Diesel,Automatic,1,0.0,4,30.6,59603.5
Audi,8.83,2021,5,220.7,0.0,32159,Electric,Manual,1,0.0,4,12.0,46935.89
Lexus,9.1,2009,17,292.1,3.56,209238,Petrol,Automatic,1,0.0,4,24.8,35539.05
Tesla,8.42,2025,1,319.2,3.26,11623,Diesel,Automatic,1,0.0,2,33.7,63044.51
BMW,9.02,2018,8,260.6,4.52,84797,Petrol,Automatic,2,0.0,4,32.6,45518.51
Ford,5.99,2010,16,160.7,1.53,231818,Petrol,Automatic,1,1.0,4,24.2,2500.0
Subaru,8.17,2013,13,168.0,1.47,226389,Hybrid,Automatic,3,1.0,4,41.6,12485.7
Honda,8.5,2019,7,171.2,1.0,65275,Petrol,Automatic,3,0.0,4,29.5,19154.77
Chevrolet,5.56,2017,9,222.3,1.52,162685,Petrol,Automatic,1,2.0,4,21.3,7272.45
Mazda,7.06,2017,9,249.0,1.94,104014,Diesel,Automatic,2,0.0,4,29.1,22048.68
Kia,7.25,2009,17,178.2,3.67,175412,Petrol,Automatic,1,0.0,4,31.4,8305.62
Mercedes-Benz,8.89,2009,17,261.5,1.82,193907,Petrol,Automatic,2,1.0,4,24.8,34705.06
Audi,7.78,2019,7,231.0,4.25,88629,Petrol,Automatic,1,1.0,4,29.4,41469.68
Mazda,6.81,2008,18,190.7,2.76,223032,Diesel,Automatic,1,1.0,4,29.0,2500.0
Ford,6.71,2025,1,206.7,3.0,10316,Petrol,Automatic,2,1.0,4,24.6,26007.45
Subaru,7.68,2009,17,254.2,2.12,205493,Petrol,Manual,1,2.0,4,34.3,5819.24
Toyota,7.81,2022,4,142.2,2.73,36858,Petrol,Automatic,3,0.0,4,23.5,23959.66
Mazda,7.8,2009,17,260.6,0.0,291467,Electric,Automatic,4,1.0,4,,4921.73
Volkswagen,7.3,2011,15,184.0,1.09,144591,Petrol,Automatic,3,0.0,4,24.7,9566.13
Volkswagen,6.5,2012,14,297.4,0.0,192149,Electric,Manual,3,2.0,2,12.0,9365.59
Honda,8.71,2018,8,212.0,2.38,142386,Diesel,Automatic,1,0.0,4,29.9,22665.04
Subaru,8.31,2026,0,187.2,2.19,500,Petrol,Automatic,1,0.0,2,24.5,34908.92
Lexus,9.32,2020,6,244.9,0.0,73747,Electric,Automatic,2,0.0,4,12.0,51630.62
Tesla,9.25,2020,6,287.1,3.64,46742,Petrol,Automatic,1,0.0,4,24.4,56359.59
Hyundai,6.23,2008,18,221.9,0.0,151668,Electric,Automatic,2,2.0,4,12.0,3567.29
Mazda,7.49,2011,15,189.6,2.71,181546,Petrol,Automatic,1,0.0,4,,13509.04
Volkswagen,7.57,2011,15,245.1,0.0,98289,Electric,Automatic,4,1.0,2,12.0,19004.04
Toyota,8.85,2022,4,165.5,2.38,61441,Diesel,Automatic,1,0.0,2,30.4,27211.94
BMW,8.26,2019,7,314.9,3.33,107913,Petrol,Manual,1,0.0,4,36.2,43450.43
Volkswagen,7.04,2011,15,147.2,2.23,159904,Petrol,Automatic,2,1.0,4,27.1,6208.82
Honda,7.75,2014,12,208.8,1.0,114414,Petrol,Automatic,2,,4,,12636.16
Chevrolet,6.04,2015,11,149.1,1.85,118443,Petrol,Manual,1,0.0,4,28.8,6994.27
Kia,6.98,2010,16,209.3,4.16,219189,Petrol,Automatic,2,1.0,4,28.7,5306.43
Tesla,8.84,2024,2,253.2,3.99,12796,Diesel,Automatic,3,0.0,4,28.3,57436.01
Volkswagen,7.01,2009,17,179.0,1.0,184009,Petrol,Automatic,1,,4,26.3,7951.44
Mercedes-Benz,9.31,2010,16,221.3,3.04,203220,Petrol,Manual,3,1.0,4,14.5,28402.99
Nissan,5.99,2015,11,185.0,1.96,58523,Petrol,Automatic,1,1.0,4,28.6,11131.06
BMW,8.21,2008,18,283.3,0.0,248365,Electric,Automatic,2,0.0,4,12.0,30449.28
Subaru,7.4,2008,18,133.5,1.64,149387,Petrol,Automatic,2,0.0,4,26.7,3074.2
Audi,8.76,2014,12,313.0,2.7,83196,Diesel,Automatic,2,1.0,4,20.3,41596.43
Mercedes-Benz,8.19,2021,5,285.2,2.95,43740,Petrol,Manual,1,0.0,2,27.4,52530.42
Nissan,7.53,2016,10,384.2,0.0,180276,Electric,Manual,2,0.0,4,12.0,20645.71
Volkswagen,7.77,2013,13,239.5,2.03,156627,Petrol,Automatic,3,0.0,2,27.8,12991.43
Ford,7.28,2021,5,201.6,,58829,Hybrid,Automatic,3,0.0,4,31.1,25045.69
Tesla,9.44,2019,7,204.2,4.19,95937,Petrol,Automatic,2,0.0,4,17.3,49186.79
Mazda,7.31,2013,13,165.0,2.62,211463,Petrol,Manual,1,1.0,4,,3466.81
Hyundai,7.38,2026,0,178.7,2.7,500,Hybrid,Automatic,2,1.0,4,46.2,27291.89
Chevrolet,6.42,2016,10,148.9,2.36,106609,Hybrid,Manual,4,0.0,4,37.7,8589.55
Ford,6.21,2009,17,181.2,1.78,118531,Petrol,Automatic,1,2.0,4,34.5,3745.66
Hyundai,6.27,2021,5,208.1,1.77,48672,Diesel,Manual,2,0.0,4,36.0,18412.03
Nissan,6.63,2016,10,157.7,1.17,142493,Hybrid,Automatic,1,0.0,4,33.9,12137.19
Subaru,7.1,2016,10,174.9,2.97,135568,Petrol,Automatic,1,,4,27.6,16669.9
Ford,6.64,2024,2,185.6,2.39,19199,Petrol,Automatic,1,0.0,4,22.9,25804.58
Hyundai,6.58,2025,1,178.5,2.94,11461,Diesel,Automatic,1,0.0,4,32.8,29549.43
Lexus,9.68,2018,8,282.8,3.76,63793,Petrol,Manual,1,0.0,2,25.7,45966.4
Nissan,6.88,2020,6,159.0,2.24,74771,Diesel,Manual,2,2.0,4,31.2,12283.77
Lexus,8.84,2014,12,274.9,3.08,96215,Hybrid,Manual,4,0.0,4,37.5,40506.99
Audi,8.01,2021,5,336.9,2.92,67922,Hybrid,Automatic,1,0.0,4,36.8,56070.8
Mazda,7.3,2026,0,180.4,2.28,1573,Petrol,Automatic,2,0.0,4,28.7,30128.57
Lexus,9.33,2015,11,202.7,2.25,100496,Hybrid,Automatic,1,1.0,4,32.7,42218.89
BMW,8.97,2009,17,220.7,0.0,240207,Electric,Manual,3,0.0,4,12.0,23266.71
Honda,7.84,2021,5,157.8,1.45,55625,Diesel,Automatic,2,1.0,4,28.4,18992.91
Chevrolet,6.51,2014,12,356.1,0.0,154341,Electric,Automatic,1,0.0,2,12.0,20862.02
